ITFGSM Hash Distance, MT-ITFGSM Hash Distance, L2 Distance ITFGSM, L2 Distance MT-ITFGSM,SSIM ITFGSM,SSIM MT-ITFGSM
0.000000000000000000e+00,0.000000000000000000e+00,2.789999961853027344e+00,2.839999914169311523e+00,1.000000000000000000e+00,9.678857922554016113e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.849999904632568359e+00,2.789999961853027344e+00,1.000000000000000000e+00,9.781203269958496094e-01
2.000000000000000000e+00,0.000000000000000000e+00,2.529999971389770508e+00,2.430000066757202148e+00,1.000000000000000000e+00,9.867949485778808594e-01
2.000000000000000000e+00,2.000000000000000000e+00,2.769999980926513672e+00,2.619999885559082031e+00,1.000000000000000000e+00,9.715983867645263672e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.660000085830688477e+00,2.700000047683715820e+00,1.000000000000000000e+00,9.785431027412414551e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.769999980926513672e+00,2.440000057220458984e+00,1.000000000000000000e+00,9.848048090934753418e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.809999942779541016e+00,2.599999904632568359e+00,1.000000000000000000e+00,9.838095307350158691e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.940000057220458984e+00,2.430000066757202148e+00,1.000000000000000000e+00,9.779438972473144531e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.740000009536743164e+00,2.710000038146972656e+00,1.000000000000000000e+00,9.919870495796203613e-01
0.000000000000000000e+00,2.000000000000000000e+00,2.740000009536743164e+00,2.650000095367431641e+00,1.000000000000000000e+00,9.709531664848327637e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.890000104904174805e+00,2.829999923706054688e+00,1.000000000000000000e+00,9.788666367530822754e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.839999914169311523e+00,2.809999942779541016e+00,1.000000000000000000e+00,9.739160537719726562e-01
2.000000000000000000e+00,2.000000000000000000e+00,2.849999904632568359e+00,2.740000009536743164e+00,1.000000000000000000e+00,9.813618659973144531e-01
