ITFGSM Hash Distance, MT-IFGSM Hash Distance, L2 Distance IFGSM, L2 Distance MT-IFGSM, SSIM ITFGSM, SSIM MT-IFGSM
0.000000000000000000e+00,0.000000000000000000e+00,2.230000019073486328e+00,1.279999971389770508e+00,9.870210289955139160e-01,9.944835305213928223e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.220000028610229492e+00,1.610000014305114746e+00,9.857383370399475098e-01,9.919762611389160156e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.840000033378601074e+00,1.649999976158142090e+00,9.863818287849426270e-01,9.887697696685791016e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.929999947547912598e+00,1.269999980926513672e+00,9.866434931755065918e-01,9.932980537414550781e-01
2.000000000000000000e+00,2.000000000000000000e+00,1.950000047683715820e+00,1.100000023841857910e+00,9.840679764747619629e-01,9.942495226860046387e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.049999952316284180e+00,1.230000019073486328e+00,9.885845184326171875e-01,9.952506422996520996e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.109999895095825195e+00,1.179999947547912598e+00,9.846418499946594238e-01,9.943120479583740234e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.190000057220458984e+00,1.610000014305114746e+00,9.882391095161437988e-01,9.931850433349609375e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.059999942779541016e+00,1.610000014305114746e+00,9.898213744163513184e-01,9.936400055885314941e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.009999990463256836e+00,1.230000019073486328e+00,9.871737360954284668e-01,9.945335388183593750e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.160000085830688477e+00,1.669999957084655762e+00,9.879239201545715332e-01,9.924426078796386719e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.059999942779541016e+00,1.570000052452087402e+00,9.891554713249206543e-01,9.935020804405212402e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.150000095367431641e+00,1.580000042915344238e+00,9.883889555931091309e-01,9.933649897575378418e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.130000114440917969e+00,1.179999947547912598e+00,9.857103824615478516e-01,9.953765273094177246e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.099999904632568359e+00,1.539999961853027344e+00,9.826322197914123535e-01,9.904984831809997559e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.099999904632568359e+00,1.269999980926513672e+00,9.863750934600830078e-01,9.943531155586242676e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.130000114440917969e+00,1.299999952316284180e+00,9.871065616607666016e-01,9.946241378784179688e-01
0.000000000000000000e+00,2.000000000000000000e+00,2.089999914169311523e+00,1.129999995231628418e+00,9.816770553588867188e-01,9.938166141510009766e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.119999885559082031e+00,1.159999966621398926e+00,9.888468384742736816e-01,9.959309101104736328e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.940000057220458984e+00,1.259999990463256836e+00,9.877550005912780762e-01,9.943842887878417969e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.400000095367431641e+00,1.139999985694885254e+00,9.863133430480957031e-01,9.965106844902038574e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.069999933242797852e+00,1.460000038146972656e+00,9.867368340492248535e-01,9.930698871612548828e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.309999942779541016e+00,1.110000014305114746e+00,9.843850135803222656e-01,9.954378008842468262e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.319999933242797852e+00,1.190000057220458984e+00,9.837315082550048828e-01,9.950397610664367676e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.359999895095825195e+00,2.190000057220458984e+00,9.817914366722106934e-01,9.842669963836669922e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.029999971389770508e+00,1.409999966621398926e+00,9.889627099037170410e-01,9.941415786743164062e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.230000019073486328e+00,1.240000009536743164e+00,9.885866641998291016e-01,9.960925579071044922e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.109999895095825195e+00,1.440000057220458984e+00,9.869191050529479980e-01,9.930507540702819824e-01
2.000000000000000000e+00,0.000000000000000000e+00,1.970000028610229492e+00,1.299999952316284180e+00,9.875913262367248535e-01,9.941447377204895020e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.319999933242797852e+00,1.549999952316284180e+00,9.851999282836914062e-01,9.926478862762451172e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.970000028610229492e+00,1.259999990463256836e+00,9.891614913940429688e-01,9.951283335685729980e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.440000057220458984e+00,1.220000028610229492e+00,9.876341819763183594e-01,9.966214299201965332e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.059999942779541016e+00,1.409999966621398926e+00,9.877324700355529785e-01,9.937135577201843262e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.059999942779541016e+00,1.299999952316284180e+00,9.868836402893066406e-01,9.940922856330871582e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.019999980926513672e+00,1.240000009536743164e+00,9.879668354988098145e-01,9.945085048675537109e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.369999885559082031e+00,1.210000038146972656e+00,9.855790138244628906e-01,9.958402514457702637e-01
0.000000000000000000e+00,2.000000000000000000e+00,2.269999980926513672e+00,1.129999995231628418e+00,9.837489128112792969e-01,9.951731562614440918e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.889999985694885254e+00,1.419999957084655762e+00,9.847038388252258301e-01,9.910211563110351562e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.200000047683715820e+00,1.169999957084655762e+00,9.865574836730957031e-01,9.953497052192687988e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.150000095367431641e+00,1.419999957084655762e+00,9.883865714073181152e-01,9.944920539855957031e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.450000047683715820e+00,1.299999952316284180e+00,9.845709800720214844e-01,9.950817227363586426e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.390000104904174805e+00,1.320000052452087402e+00,9.847257733345031738e-01,9.949229359626770020e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.950000047683715820e+00,1.350000023841857910e+00,9.852504730224609375e-01,9.923529624938964844e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.240000009536743164e+00,1.169999957084655762e+00,9.847876429557800293e-01,9.952594637870788574e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.230000019073486328e+00,1.320000052452087402e+00,9.872577786445617676e-01,9.948647022247314453e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.029999971389770508e+00,1.289999961853027344e+00,9.870414733886718750e-01,9.939484596252441406e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.269999980926513672e+00,1.179999947547912598e+00,9.858641624450683594e-01,9.954333901405334473e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.079999923706054688e+00,1.419999957084655762e+00,9.886860251426696777e-01,9.942412376403808594e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.009999990463256836e+00,1.309999942779541016e+00,9.874461293220520020e-01,9.940113425254821777e-01
0.000000000000000000e+00,2.000000000000000000e+00,1.809999942779541016e+00,1.309999942779541016e+00,9.868400692939758301e-01,9.923706054687500000e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.259999990463256836e+00,1.149999976158142090e+00,9.846439361572265625e-01,9.951744079589843750e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.639999985694885254e+00,9.857869744300842285e-01,9.902388453483581543e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.119999885559082031e+00,1.129999995231628418e+00,9.868782162666320801e-01,9.956516623497009277e-01
2.000000000000000000e+00,2.000000000000000000e+00,2.119999885559082031e+00,1.320000052452087402e+00,9.838798642158508301e-01,9.934187531471252441e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.069999933242797852e+00,1.379999995231628418e+00,9.878098368644714355e-01,9.944148063659667969e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.259999990463256836e+00,1.250000000000000000e+00,9.895604252815246582e-01,9.964969754219055176e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.200000047683715820e+00,1.129999995231628418e+00,9.840021133422851562e-01,9.947886466979980469e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.230000019073486328e+00,1.129999995231628418e+00,9.867646694183349609e-01,9.960448145866394043e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.210000038146972656e+00,1.190000057220458984e+00,9.855220913887023926e-01,9.949941039085388184e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.240000009536743164e+00,1.350000023841857910e+00,9.892304539680480957e-01,9.958078265190124512e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.119999885559082031e+00,1.379999995231628418e+00,9.888786673545837402e-01,9.947900772094726562e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.899999976158142090e+00,1.370000004768371582e+00,9.840746521949768066e-01,9.915034174919128418e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.069999933242797852e+00,1.210000038146972656e+00,9.867780208587646484e-01,9.948413372039794922e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.079999923706054688e+00,1.220000028610229492e+00,9.868257641792297363e-01,9.946587085723876953e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.140000104904174805e+00,1.090000033378601074e+00,9.855761528015136719e-01,9.956324696540832520e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.009999990463256836e+00,1.139999985694885254e+00,9.840817451477050781e-01,9.940055012702941895e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.089999914169311523e+00,1.929999947547912598e+00,9.641359448432922363e-01,9.682412147521972656e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.120000004768371582e+00,9.867475628852844238e-01,9.950566887855529785e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.109999895095825195e+00,1.289999961853027344e+00,9.877083897590637207e-01,9.949650168418884277e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.119999885559082031e+00,1.379999995231628418e+00,9.856804013252258301e-01,9.935400485992431641e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.099999904632568359e+00,1.360000014305114746e+00,9.875409007072448730e-01,9.939664006233215332e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.099999904632568359e+00,1.429999947547912598e+00,9.882127642631530762e-01,9.943249821662902832e-01
2.000000000000000000e+00,0.000000000000000000e+00,2.099999904632568359e+00,1.279999971389770508e+00,9.872770309448242188e-01,9.947519302368164062e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.250000000000000000e+00,1.490000009536743164e+00,9.897118210792541504e-01,9.949464201927185059e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.009999990463256836e+00,1.230000019073486328e+00,9.862470030784606934e-01,9.942922592163085938e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.150000095367431641e+00,1.539999961853027344e+00,9.846295714378356934e-01,9.916105866432189941e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.089999914169311523e+00,1.330000042915344238e+00,9.863138198852539062e-01,9.939021468162536621e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.250000000000000000e+00,2.119999885559082031e+00,9.839320778846740723e-01,9.860148429870605469e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.139999985694885254e+00,9.844130873680114746e-01,9.943065047264099121e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.089999914169311523e+00,1.240000009536743164e+00,9.882416725158691406e-01,9.953343272209167480e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.909999966621398926e+00,1.259999990463256836e+00,9.862400889396667480e-01,9.932124018669128418e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.170000076293945312e+00,1.070000052452087402e+00,9.844093322753906250e-01,9.954739212989807129e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.140000104904174805e+00,1.340000033378601074e+00,9.889739155769348145e-01,9.951651692390441895e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.170000076293945312e+00,1.840000033378601074e+00,9.875335693359375000e-01,9.906584620475769043e-01
0.000000000000000000e+00,0.000000000000000000e+00,2.089999914169311523e+00,1.419999957084655762e+00,9.870346188545227051e-01,9.931843280792236328e-01
