ITFGSM Hash Distance, MT-IFGSM Hash Distance, L2 Distance ITFGSM, L2 Distance MT-IFGSM, SSIM ITFGSM, SSIM MT-IFGSM
2.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.859999895095825195e+00,9.646099209785461426e-01,9.645602107048034668e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.400618076324462891e-01,9.382782578468322754e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.859999895095825195e+00,3.859999895095825195e+00,9.476413130760192871e-01,9.470560550689697266e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.839999914169311523e+00,3.829999923706054688e+00,9.481838345527648926e-01,9.472997188568115234e-01
2.000000000000000000e+00,0.000000000000000000e+00,3.819999933242797852e+00,3.819999933242797852e+00,9.518800377845764160e-01,9.512616991996765137e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.581834673881530762e-01,9.576861858367919922e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.809999942779541016e+00,3.809999942779541016e+00,9.582815170288085938e-01,9.566376209259033203e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.839999914169311523e+00,3.839999914169311523e+00,9.618050456047058105e-01,9.613965153694152832e-01
0.000000000000000000e+00,2.000000000000000000e+00,3.839999914169311523e+00,3.839999914169311523e+00,9.662799835205078125e-01,9.654483795166015625e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.710000038146972656e+00,3.710000038146972656e+00,9.586486816406250000e-01,9.569683670997619629e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.839999914169311523e+00,3.819999933242797852e+00,9.455214142799377441e-01,9.433376789093017578e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.799999952316284180e+00,3.789999961853027344e+00,9.281566143035888672e-01,9.343931078910827637e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.819999933242797852e+00,3.819999933242797852e+00,9.713789820671081543e-01,9.717118144035339355e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.859999895095825195e+00,3.849999904632568359e+00,9.419589042663574219e-01,9.481258988380432129e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.496607184410095215e-01,9.488153457641601562e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.839999914169311523e+00,3.839999914169311523e+00,9.518561363220214844e-01,9.510381817817687988e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.839999914169311523e+00,3.839999914169311523e+00,9.571076035499572754e-01,9.557830691337585449e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.532814621925354004e-01,9.409095644950866699e-01
2.000000000000000000e+00,2.000000000000000000e+00,3.849999904632568359e+00,3.849999904632568359e+00,9.627087116241455078e-01,9.620960354804992676e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.789999961853027344e+00,3.789999961853027344e+00,9.658845067024230957e-01,9.660063385963439941e-01
0.000000000000000000e+00,0.000000000000000000e+00,3.799999952316284180e+00,3.819999933242797852e+00,9.531154632568359375e-01,9.566566944122314453e-01
